Code,Country,Currency,ExchangeRate,Currency Name,AM,FP,CS,HV,RN,TB,UPD Filename,Global Region
4,Afghanistan,AFN,3.83,$ argentinos,0,1,1,0,0,1,Afghanistan_4.upd,Asia
903,AFRICA,,,,0,0,0,0,0,0,AFRICA_903.upd,
8,Albania,ALL,,,0,1,1,0,0,0,Albania_8.upd,Eastern Europe
12,Algeria,DZD,,,1,1,1,0,0,1,Algeria_12.upd,North Africa Middle East
24,Angola,AOA,,,1,1,1,0,0,1,Angola_24.upd,Southern Africa
28,Antigua and Barbuda,XCD,,,0,0,0,0,0,0,Antigua and Barbuda_28.upd,Latin America and Caribbean
32,Argentina,ARS,,,1,1,1,0,1,1,Argentina_32.upd,Latin America and Caribbean
51,Armenia,AMD,,,1,1,1,0,0,1,Armenia_51.upd,Eastern Europe
533,Aruba,AWG,,,0,0,0,0,0,0,Aruba_533.upd,Latin America and Caribbean
935,ASIA,,,,0,0,0,0,0,0,ASIA_935.upd,
36,Australia,AUD,,,1,0,0,0,0,1,Australia_36.upd,High Income Countries
927,Australia and New Zealand,NZD,,,0,0,0,0,0,0,Australia and New Zealand_927.upd,
40,Austria,EUR,,,1,0,0,0,0,1,Austria_40.upd,High Income Countries
31,Azerbaijan,AZN,,,1,1,1,0,0,1,Azerbaijan_31.upd,Eastern Europe
44,Bahamas,BSD,,,1,1,1,0,0,1,Bahamas_44.upd,Latin America and Caribbean
48,Bahrain,BHD,,,0,1,1,0,0,0,Bahrain_48.upd,North Africa Middle East
50,Bangladesh,BDT,,,1,1,1,0,0,1,Bangladesh_50.upd,Asia
52,Barbados,BBD,,,1,1,1,0,0,1,Barbados_52.upd,Latin America and Caribbean
112,Belarus,BYR,,,1,1,1,0,0,1,Belarus_112.upd,Eastern Europe
56,Belgium,EUR,,,1,0,0,0,0,1,Belgium_56.upd,High Income Countries
84,Belize,BZD,,,1,1,1,0,0,1,Belize_84.upd,Latin America and Caribbean
204,Benin,XOF,450,FCFA,1,1,1,0,1,1,Benin_204.upd,West Africa
64,Bhutan,BTN,,,1,1,1,0,0,1,Bhutan_64.upd,Asia
68,Bolivia,BOB,1,BOB,1,1,1,0,1,0,Bolivia_68.upd,Latin America and Caribbean
70,Bosnia and Herzegovina,BAM,,,0,1,1,0,0,0,Bosnia and Herzegovina_70.upd,Eastern Europe
72,Botswana,BWP,6.5,Pula,1,1,1,1,1,1,Botswana_72.upd,Southern Africa
76,Brazil,BRL,1.71,BRL,1,1,1,1,1,1,Brazil_76.upd,Latin America and Caribbean
96,Brunei Darussalam,BND,,,0,1,1,0,0,0,Brunei Darussalam_96.upd,Asia
100,Bulgaria,BGN,,,1,1,1,0,0,1,Bulgaria_100.upd,High Income Countries
854,Burkina Faso,XOF,475,FCFA,1,1,1,0,1,1,Burkina Faso_854.upd,West Africa
